Ex-Dividend Date,Dividend Per Unit
2013-10-24 00:00:00+08:00,0.85
2014-10-24 00:00:00+08:00,1.0
2015-10-26 00:00:00+08:00,1.0
2016-10-26 00:00:00+08:00,1.3
2017-10-30 00:00:00+08:00,0.95
2018-10-23 00:00:00+08:00,1.45
2019-10-23 00:00:00+08:00,1.8
2020-10-28 00:00:00+08:00,1.6
2021-10-22 00:00:00+08:00,1.8
2022-10-19 00:00:00+08:00,2.1
2023-07-18 00:00:00+08:00,1.0
2023-10-19 00:00:00+08:00,1.2
2024-01-17 00:00:00+08:00,0.7
2024-04-18 00:00:00+08:00,0.79
2024-07-16 00:00:00+08:00,1.07
2024-10-17 00:00:00+08:00,1.07
2025-01-17 00:00:00+08:00,1.07
2025-04-23 00:00:00+08:00,1.07
