etf_id,date,dividend_per_unit,currency
00692.TW,2017-07-27,0.021,TWD
00692.TW,2017-11-30,1.12,TWD
00692.TW,2018-07-26,0.083,TWD
00692.TW,2018-11-29,0.743,TWD
00692.TW,2019-07-18,0.256,TWD
00692.TW,2019-11-20,0.53,TWD
00692.TW,2020-07-21,0.231,TWD
00692.TW,2020-11-17,0.608,TWD
00692.TW,2021-07-16,0.172,TWD
00692.TW,2021-11-16,1.798,TWD
00692.TW,2022-07-18,1.483,TWD
00692.TW,2022-11-16,0.55,TWD
00692.TW,2023-07-18,0.732,TWD
00692.TW,2023-11-16,1.062,TWD
00692.TW,2024-07-16,0.415,TWD
00692.TW,2024-11-18,0.6,TWD
