Date,Adj_Close,Close,High,Low,Open,Volume,RSI_14,MA5,MA20,MACD_line,MACD_signal,MACD_hist,%K,%D
2024-03-11,,,,,,,,,,,,,,
2024-03-12,,,,,,,,,,,,,,
2024-03-13,,,,,,,,,,,,,,
2024-03-14,,,,,,,,,,,,,,
2024-03-15,,,,,,,,,,,,,,
2024-03-18,,,,,,,,,,,,,,
2024-03-19,,,,,,,,,,,,,,
2024-03-20,14.208460807800291,15.029999732971191,15.390000343322754,15.010000228881836,15.3100004196167,773559592.0,,,,,,,,
2024-03-21,14.170647621154783,14.989999771118164,15.199999809265137,14.979999542236328,15.170000076293944,307030693.0,,,,,,,,
2024-03-22,14.104473114013672,14.920000076293944,15.029999732971191,14.890000343322754,15.020000457763672,199674782.0,,,,,,,,
2024-03-25,14.00994110107422,14.81999969482422,14.970000267028809,14.8100004196167,14.920000076293944,134445539.0,,,,,,,,
2024-03-26,13.754698753356934,14.550000190734863,14.899999618530272,14.34000015258789,14.8100004196167,236618420.0,,14.861999893188477,,,,,,
2024-03-27,13.943767547607422,14.75,14.81999969482422,14.520000457763672,14.600000381469728,118772746.0,,14.805999946594238,,,,,,
2024-03-28,13.98158073425293,14.789999961853027,14.920000076293944,14.6899995803833,14.800000190734863,123287855.0,,14.76599998474121,,,,,,
2024-03-29,14.000489234924316,14.8100004196167,14.859999656677246,14.710000038146973,14.81999969482422,78072000.0,,14.744000053405761,,,,,,
2024-04-01,13.858685493469238,14.65999984741211,14.880000114440918,14.630000114440918,14.81999969482422,84274859.0,,14.71200008392334,,,,,,
2024-04-02,13.953221321105955,14.760000228881836,14.770000457763672,14.649999618530272,14.65999984741211,41117352.0,,14.754000091552735,,,,,,
2024-04-03,13.991034507751465,14.800000190734863,14.859999656677246,14.649999618530272,14.710000038146973,51091497.0,,14.764000129699706,,,,,,
2024-04-08,13.972126007080078,14.779999732971191,14.859999656677246,14.720000267028809,14.8100004196167,43450280.0,,14.76200008392334,,,,,,
2024-04-09,13.972126007080078,14.779999732971191,14.829999923706056,14.75,14.779999732971191,34269780.0,,14.755999946594239,,,,,,
2024-04-10,14.00994110107422,14.81999969482422,14.890000343322754,14.779999732971191,14.779999732971191,41370251.0,,14.78799991607666,,,,,,
2024-04-11,13.991034507751465,14.800000190734863,14.8100004196167,14.729999542236328,14.800000190734863,31637877.0,43.84349210769389,14.795999908447266,,,,,,
2024-04-12,14.028847694396973,14.84000015258789,14.890000343322754,14.770000457763672,14.800000190734863,36278658.0,47.48225294127501,14.803999900817871,,,,,57.222147959900816,
2024-04-15,13.89650058746338,14.699999809265137,14.8100004196167,14.68000030517578,14.800000190734863,54398045.0,38.16180934480013,14.78799991607666,,,,,61.03166744437177,
2024-04-16,13.499456405639648,14.279999732971191,14.619999885559082,14.260000228881836,14.619999885559082,137487409.0,23.352316515385603,14.68799991607666,,,,,44.21227768135228,54.15536436187495
2024-04-17,13.641257286071776,14.43000030517578,14.460000038146973,14.289999961853027,14.289999961853027,39739668.0,33.30684554274041,14.610000038146973,,-0.0860904312896782,,,28.643538044073697,44.62916105659925
2024-04-18,13.63180446624756,14.420000076293944,14.5,14.3100004196167,14.380000114440918,23468988.0,32.999146532675304,14.534000015258789,14.736499977111816,-0.09942243938006712,,,17.676742864298724,30.177519529908235
2024-04-19,13.263123512268066,14.029999732971191,14.329999923706056,13.8100004196167,14.329999923706056,119236388.0,23.7745920207585,14.371999931335449,14.686499977111817,-0.13984586411047673,,,23.45676941036419,23.259016772912204
2024-04-22,12.932251930236816,13.68000030517578,14.029999732971191,13.670000076293944,13.989999771118164,90744920.0,18.717713528287803,14.168000030517579,14.621000003814697,-0.19784313568509937,,,15.14413522379207,18.759215832818327
2024-04-23,12.922799110412598,13.670000076293944,13.859999656677246,13.619999885559082,13.81999969482422,45085784.0,18.596006286886393,14.046000099182129,14.558500003814697,-0.2418257098986949,,,8.375673472356567,15.658859368837605
2024-04-24,13.32929801940918,14.100000381469728,14.130000114440918,13.800000190734863,13.800000190734863,44320422.0,37.43436247245919,13.980000114440918,14.522500038146973,-0.23922712449761718,,,14.184004400509005,12.56793769888588
2024-04-25,13.215853691101074,13.979999542236328,14.06999969482422,13.960000038146973,14.0,21773158.0,35.000103269252556,13.892000007629395,14.494000005722047,-0.24403767724761138,,,23.359580643772485,15.30641950554602
2024-04-26,13.300935745239258,14.06999969482422,14.140000343322754,14.0,14.0,18632450.0,38.24366054245296,13.9,14.459999990463256,-0.23784607332965457,,,33.85825451130351,23.800613185195
2024-04-29,13.55617904663086,14.34000015258789,14.369999885559082,14.210000038146973,14.210000038146973,21958794.0,46.81764015640484,14.031999969482422,14.4375,-0.20874610698168006,-0.18832050693561994,-0.020425600046060116,40.15745883182202,32.45843132896601
2024-04-30,13.499456405639648,14.279999732971191,14.359999656677246,14.239999771118164,14.350000381469728,10706941.0,45.312109334594425,14.15399990081787,14.410999965667724,-0.1883544732940674,-0.18832730020730945,-2.717308675795338e-05,48.03147674787669,40.68239669700074
2024-05-02,13.490004539489746,14.270000457763672,14.300000190734863,14.170000076293944,14.239999771118164,20042288.0,45.052096935299694,14.18799991607666,14.391499996185303,-0.17102929536968148,-0.18486769923978388,0.013838403870102406,53.28083871245503,47.15659143071792
2024-05-03,13.461642265319824,14.239999771118164,14.449999809265137,14.239999771118164,14.369999885559082,19251332.0,44.232002736699215,14.239999961853027,14.36549997329712,-0.1578996033907334,-0.1794740800699738,0.021574476679240423,51.750136499099085,51.02081731981027
