Ex-Dividend Date,Dividend Per Unit
2021-10-19 00:00:00+08:00,0.432
2022-01-18 00:00:00+08:00,0.039
2022-04-20 00:00:00+08:00,0.031
2022-07-18 00:00:00+08:00,0.168
2022-10-19 00:00:00+08:00,0.208
2023-01-30 00:00:00+08:00,0.208
2023-04-21 00:00:00+08:00,0.208
2023-07-18 00:00:00+08:00,0.208
2023-10-19 00:00:00+08:00,0.208
2024-01-17 00:00:00+08:00,0.208
2024-04-22 00:00:00+08:00,0.188
2024-07-23 00:00:00+08:00,0.133
2024-07-26 00:00:00+08:00,0.133
2024-10-24 00:00:00+08:00,0.188
2025-01-22 00:00:00+08:00,0.22
2025-04-23 00:00:00+08:00,0.22
